artist,album,price_source,ru_price_rub,ru_n,ru_p25,ru_p75,item_kg,item_kg_source,discs,discs_source,vinyl_gram,parcel_kg_solo,cargo_usd_solo,cargo_usd_rider,ru_price_usd,cap_3x_ebay_usd,cap_3x_landed_usd,cap_3x_rider_usd,breakeven_entry_usd,discogs_release,updated
ABBA,Gold Greatest Hits,ozon_x0.7,3777,1,3777,3777,,модель,2,карточки Авито (1 шт.),,1.1,24.2,18.26,43.62,14.54,-9.66,-3.72,19.42,,2026-09-07
AC/DC,Back In Black,ozon_x0.7,3681,1,3681,3681,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,42.52,14.17,-7.83,4.71,20.52,,2026-09-07
AC/DC,Highway To Hell,ozon_x0.7,3189,2,3069,3310,,модель,1,карточки Авито (2 шт.),,1.0,22.0,9.46,36.84,12.28,-9.72,2.82,14.84,,2026-09-07
AC/DC,Highway to Hell,ozon_x0.7,3823,1,3823,3823,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,44.16,14.72,-7.28,5.26,22.16,,2026-09-07
Adele,21,ozon_x0.7,4260,1,4260,4260,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,49.2,16.4,-5.6,6.94,27.2,,2026-09-07
Adriano Celentano,Golden,ozon_x0.7,2562,1,2562,2562,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,29.6,9.87,-12.13,0.41,7.6,,2026-09-07
Alphaville,Forever Young,ozon_x0.7,3401,1,3401,3401,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,39.28,13.09,-8.91,3.63,17.28,,2026-09-07
Antonio Vivaldi,The Four Seasons,ozon_x0.7,3188,1,3188,3188,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,36.82,12.27,-9.73,2.81,14.82,,2026-09-07
Arctic Monkeys,AM,ozon_x0.7,3859,1,3859,3859,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,44.58,14.86,-7.14,5.4,22.58,,2026-09-07
Arctic Monkeys,The Car,ozon_x0.7,3685,1,3685,3685,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,42.56,14.19,-7.81,4.73,20.56,,2026-09-07
Army Of Lovers,Glory Glamor And Gold,ozon_x0.7,3674,1,3674,3674,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,42.44,14.15,-7.85,4.69,20.44,,2026-09-07
Bad Boys Blue,Hot Girls Bad Boys,ozon_x0.7,2591,1,2591,2591,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,29.93,9.98,-12.02,0.52,7.93,,2026-09-07
Black Sabbath,Paranoia,ozon_x0.7,1835,1,1835,1835,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,21.2,7.07,-14.93,-2.39,-0.8,,2026-09-07
Chris Rea,The Very Best Of,ozon_x0.7,3810,1,3810,3810,,модель,2,карточки Авито (1 шт.),,1.1,24.2,18.26,44.01,14.67,-9.53,-3.59,19.81,,2026-09-07
Cigarettes After Sex,Cigarettes After Sex,ozon_x0.7,3776,2,3623,3930,,модель,1,карточки Авито (2 шт.),,1.0,22.0,9.46,43.62,14.54,-7.46,5.08,21.62,,2026-09-07
Daft Punk,Random Access Memories,ozon_x0.7,4059,1,4059,4059,,модель,2,карточки Авито (1 шт.),,1.1,24.2,18.26,46.89,15.63,-8.57,-2.63,22.69,,2026-09-07
Dee D. Jackson,Cosmic Curves,ozon_x0.7,3386,1,3386,3386,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,39.11,13.04,-8.96,3.58,17.11,,2026-09-07
Deep Purple,In Rock,ozon_x0.7,3444,1,3444,3444,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,39.78,13.26,-8.74,3.8,17.78,,2026-09-07
Deep Purple,Дом голубого света,ozon_x0.7,1585,1,1585,1585,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,18.31,6.1,-15.9,-3.36,-3.69,,2026-09-07
Deftones,Private Music,ozon_x0.7,3231,1,3231,3231,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,37.33,12.44,-9.56,2.98,15.33,,2026-09-07
Depeche Mode,Live At Hammersmith Odeon,ozon_x0.7,1835,1,1835,1835,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,21.2,7.07,-14.93,-2.39,-0.8,,2026-09-07
Depeche Mode,Some Great Reward,ozon_x0.7,2978,1,2978,2978,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,34.4,11.47,-10.53,2.01,12.4,,2026-09-07
Depeche Mode,Ultra,ozon_x0.7,3069,1,3069,3069,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,35.45,11.82,-10.18,2.36,13.45,,2026-09-07
Depeche Mode,Violator,avito,4000,29,3650,4690,,модель,1,карточки Авито (29 шт.),,1.0,22.0,9.46,46.2,15.4,-6.6,5.94,24.2,2633318,2026-09-07
Dirty Dancing,Original Soundtrack,ozon_x0.7,2814,2,2474,3154,,модель,1,карточки Авито (2 шт.),,1.0,22.0,9.46,32.51,10.84,-11.16,1.38,10.51,,2026-09-07
