title,author,format,price_usd,compare_usd,discount_pct,upc,url,fetched_at
Isle of Hope [Mint Glow Vinyl] [Barnes & Noble Exclusive],,Vinyl LP,25.19,27.99,10,0192641820038,https://www.barnesandnoble.com/w/0192641820038/192641820038,2026-09-07T08:34
Sings The Songs That Made Him Famous [B&N Exclusive] [Opaque White Vinyl],,Vinyl LP,24.29,26.99,10,0602547306760,https://www.barnesandnoble.com/w/0602547306760/602547306760,2026-09-07T08:34
Essential Sun Records [Opaque Gold Vinyl] [Barnes & Noble Exclusive],Essential Sun Records / Various (B&N),Vinyl LP,23.39,25.99,10,0602445246700,https://www.barnesandnoble.com/w/0602445246700/602445246700,2026-09-07T08:34
Just Say Yes [180g Red Vinyl] [Barnes & Noble Exclusive],,Vinyl LP,25.19,27.99,10,0602527474465,https://www.barnesandnoble.com/w/0602527474465/602527474465,2026-09-07T08:34
Sun Records Sings Elvis Presley / Various [B&N Exclusive] [Opaque Canary Gold Vinyl],,Vinyl LP,23.39,25.99,10,0602537432134,https://www.barnesandnoble.com/w/0602537432134/602537432134,2026-09-07T08:34
Heart Shaped World [B&N Exclusive] [Orange Crush Vinyl],,Vinyl LP,20.24,26.99,25,0602465191981,https://www.barnesandnoble.com/w/0602465191981/602465191981,2026-09-07T08:34
I'm Not Broken (Live From Topeka Correctional Facility) [Barnes & Noble Exclusive Glow In The Dark Blue 2 LP],,BN Exclusive,20.00,34.99,43,0601501306327,https://www.barnesandnoble.com/w/0601501306327/601501306327,2026-09-07T08:34
The Killer Keys Of Jerry Lee Lewis [Sun Records 70th Anniversary],,Vinyl LP,22.49,24.99,10,0823765000128,https://www.barnesandnoble.com/w/0823765000128/823765000128,2026-09-07T08:34
Some Things Never Change,,Vinyl LP,25.19,27.99,10,0602455799913,https://www.barnesandnoble.com/w/0602455799913/602455799913,2026-09-07T08:34
Harper Valley P.T.A.,,Vinyl LP,21.59,23.99,10,0075597899214,https://www.barnesandnoble.com/w/0075597899214/75597899214,2026-09-07T08:34
Texas Moon,,Vinyl LP,25.19,27.99,10,0602567838098,https://www.barnesandnoble.com/w/0602567838098/602567838098,2026-09-07T08:34
Outrun [Whiskey Brown LP],,Vinyl LP,25.19,27.99,10,0093624818885,https://www.barnesandnoble.com/w/0093624818885/93624818885,2026-09-07T08:34
Preacher Kids [Clear Blue LP],,Vinyl LP,26.99,29.99,10,0656605150024,https://www.barnesandnoble.com/w/0656605150024/656605150024,2026-09-07T08:34
The Original Sun Sound Of Johnny Cash [Translucent Violet LP],,Vinyl LP,25.19,27.99,10,0602527779089,https://www.barnesandnoble.com/w/0602527779089/602527779089,2026-09-07T08:34
Where Rock N Roll Was Born: Celebrating 100,,Vinyl LP,40.49,44.99,10,0826257040022,https://www.barnesandnoble.com/w/0826257040022/826257040022,2026-09-07T08:34
Shrek [Original Motion Picture Score],,Vinyl LP,28.49,37.99,25,0656605144221,https://www.barnesandnoble.com/w/0656605144221/656605144221,2026-09-07T08:34
I Love Rock 'N Roll [Transparent Red Vinyl] [Alternative Cover] [45th Anniversary Edition] [Barnes & Noble Exclusive LP],,Vinyl LP,25.77,26.99,5,0602527870915,https://www.barnesandnoble.com/w/0602527870915/602527870915,2026-09-07T08:34
Heart Shaped World [B&N Exclusive] [Orange Crush Vinyl],,Vinyl LP,20.24,26.99,25,0602458971163,https://www.barnesandnoble.com/w/0602458971163/602458971163,2026-09-07T08:34
Shrek [Original Motion Picture Score],,CD,13.49,17.99,25,0602537865413,https://www.barnesandnoble.com/w/0602537865413/602537865413,2026-09-07T08:34
Prolific,Nipsey Hussle,Vinyl LP,25.49,33.99,25,0602498800331,https://www.barnesandnoble.com/w/0602498800331/602498800331,2026-09-07T08:34
I Love Rock 'N Roll [45th Anniversary Edition],,CD,14.77,17.99,18,,,2026-09-07T08:34
Heart Shaped World,,CD,10.49,13.99,25,,,2026-09-07T08:34
Prolific,Rideaux,CD,11.24,14.99,25,,,2026-09-07T08:34
Confessions II [Hot Pink Vinyl] [Barnes & Noble Exclusive],Madonna,BN Exclusive,27.99,31.99,13,0823375187998,https://www.barnesandnoble.com/w/0823375187998/823375187998,2026-09-07T08:34
you seem pretty sad for a girl so in love ['spark in the dark' black vinyl],,Vinyl LP,29.77,36.99,20,0602557117783,https://www.barnesandnoble.com/w/0602557117783/602557117783,2026-09-07T08:34
Foreign Tongues [180g 2 LP],,Vinyl LP,46.99,54.99,15,0617308050837,https://www.barnesandnoble.com/w/0617308050837/617308050837,2026-09-07T08:34
KPop Demon Hunters [Soundtrack from the Netflix Film] [Anniversary Edition] [Barnes & Noble Exclusive],,CD,13.99,18.99,26,5401148010992,https://www.barnesandnoble.com/w/5401148010992/5401148010992,2026-09-07T08:34
La La Land [Original Motion Picture Soundtrack] [Blue Vinyl] [Barnes & Noble Exclusive],,BN Exclusive,31.99,,,0093624822462,https://www.barnesandnoble.com/w/0093624822462/93624822462,2026-09-07T08:34
The Art of Loving,,Vinyl LP,29.99,36.99,19,0199584399911,https://www.barnesandnoble.com/w/0199584399911/199584399911,2026-09-07T08:34
petal,,Vinyl LP,31.99,35.49,10,0602478163326,https://www.barnesandnoble.com/w/0602478163326/602478163326,2026-09-07T08:34
Dinner Party [Olive Vinyl] [Barnes & Noble Exclusive],,BN Exclusive,24.99,33.99,26,0810141858985,https://www.barnesandnoble.com/w/0810141858985/810141858985,2026-09-07T08:34
CONFESSIONS II [Translucent Pink 2 LP],,Vinyl LP,42.99,50.99,16,0093624822462,https://www.barnesandnoble.com/w/0093624822462/93624822462,2026-09-07T08:34
CONFESSIONS II [Premium CD] [CD + 24-Page Soft Cover Photobook],,CD,26.99,30.99,13,0093624822417,https://www.barnesandnoble.com/w/0093624822417/93624822417,2026-09-07T08:34
CONFESSIONS II,,CD,11.19,14.99,25,0093624822356,https://www.barnesandnoble.com/w/0093624822356/93624822356,2026-09-07T08:34
CONFESSIONS II [Translucent Red Vinyl],,Vinyl LP,26.77,31.99,16,0093624822349,https://www.barnesandnoble.com/w/0093624822349/93624822349,2026-09-07T08:34
Lost Weekend [Pale Blue Dot Vinyl 2 LP] [B&N Exclusive],,Vinyl LP,36.77,41.99,12,0199584399829,https://www.barnesandnoble.com/w/0199584399829/199584399829,2026-09-07T08:34
Lost Weekend,,CD,13.55,15.99,15,,,2026-09-07T08:34
Lost Weekend [Rogue Planet: Green Glow in the Dark Splatter],,Vinyl LP,34.77,42.99,19,,,2026-09-07T08:34
Lost Weekend,,Vinyl LP,30.77,37.99,19,,,2026-09-07T08:34
Lost Weekend [Cassette],,Cassette,17.99,,,,,2026-09-07T08:34
Punisher [Deep End Vinyl] [ Barnes & Noble Exclusive],,BN Exclusive,29.99,,,,,2026-09-07T08:34
